id;definition;description;created_by;created_at;last_updated_by;last_updated_at
1;Brook Marketing;navigate Credit Card Account parsing;California plum Intelligent Soft Gloves;2021-03-14T05:54:21;transmitting Unbranded Cotton Mouse;2021-03-14T16:54:00
2;Checking Account;Fantastic Plastic Fish Tennessee;Streamlined JBOD National;2021-03-14T16:33:49;Cambridgeshire;2021-03-13T18:45:43
3;application Checking Account;Grass-roots deposit;USB Via Macao;2021-03-13T19:23:20;RSS;2021-03-14T18:19:08
4;withdrawal;Buckinghamshire Designer deposit;deposit;2021-03-14T04:26:44;Algeria Awesome Rubber Chicken;2021-03-14T17:33:19
5;brand panel;Computer composite;Baht Licensed Towels;2021-03-13T21:36:00;backing up Savings Account;2021-03-14T17:06:50
6;core Bike;Agent copy system;deliverables Kuwaiti Dinar Identity;2021-03-13T21:01:26;Managed navigating;2021-03-14T00:40:58
7;matrix driver Metal;Circles Global networks;Money Market Account green;2021-03-13T20:45:53;synthesize;2021-03-13T19:14:10
8;Solomon Islands Dollar Alabama Metal;metrics experiences;Overpass;2021-03-14T01:39:13;Quetzal;2021-03-14T00:24:06
9;Rubber;Marshall Islands Unbranded;deposit;2021-03-14T08:51:01;Human;2021-03-13T22:33:40
10;portal;Bulgaria redundant Crossroad;Corporate;2021-03-14T00:28:22;Cambridgeshire global Digitized;2021-03-14T01:50:08
