id;reason;price;created_by;created_at;last_updated_by;last_updated_at
1;Chief;99263;plug-and-play;2021-03-14T07:11:07;methodical;2021-03-14T01:13:01
2;bottom-line orange;27678;Chief;2021-03-14T06:14:44;parallelism;2021-03-14T03:08:39
3;TCP Cotton;59093;Identity;2021-03-13T21:21:43;Plastic;2021-03-13T19:24:37
4;lime moderator auxiliary;84157;Automotive Home Loan Account;2021-03-14T07:52:52;Hollow Manor;2021-03-14T06:16:16
5;silver Frozen Centers;47624;Product Berkshire Front-line;2021-03-13T21:18:59;capacitor Auto Loan Account;2021-03-14T03:01:06
6;Borders Kroon pink;99501;systems bypassing;2021-03-13T18:22:50;Rustic Soft Gloves Producer;2021-03-14T17:57:07
7;Cambridgeshire;95849;GB;2021-03-14T04:05:30;Minnesota;2021-03-14T08:52:49
8;Liberia Solutions;66376;Auto Loan Account holistic Tennessee;2021-03-14T09:02:10;transmit;2021-03-14T08:36:57
9;dot-com;89378;Steel;2021-03-14T15:19:31;Money Market Account microchip;2021-03-14T14:01:04
10;connecting methodical Movies;47182;overriding;2021-03-14T01:49:05;primary Dynamic Directives;2021-03-14T10:24:45
