id;name;price;created_by;created_at;last_updated_by;last_updated_at
1;cultivate Multi-channelled;92547;Intranet;2021-03-13T21:24:34;Corporate reboot;2021-03-14T15:32:24
2;grey Directives;81136;target;2021-03-14T00:53:59;Borders Liberia Program;2021-03-14T02:56:22
3;lavender Money Market Account;88008;Bedfordshire;2021-03-14T12:15:43;Books;2021-03-14T01:42:39
4;Grocery Tennessee Keyboard;25544;generate;2021-03-13T20:16:38;invoice Buckinghamshire Metal;2021-03-14T03:07:43
5;olive Ergonomic Frozen;22855;Practical Concrete Hat deposit content;2021-03-13T23:34:09;Aruba synthesizing;2021-03-14T09:19:44
6;compressing Practical;12723;Gloves Phased;2021-03-14T16:40:43;Small;2021-03-14T13:19:42
7;envisioneer Metrics Luxembourg;89645;transition input Savings Account;2021-03-13T20:51:14;users;2021-03-14T15:48:49
8;Tactics Savings Account Venezuela;92735;payment;2021-03-14T07:08:27;tan iterate;2021-03-13T20:25:03
9;PCI Rand Chicken;22390;hacking Expanded;2021-03-14T12:08:31;hub Manager;2021-03-14T12:14:56
10;invoice Assimilated navigating;80606;Pizza zero defect Movies;2021-03-14T01:46:31;Multi-tiered bypass Accountability;2021-03-14T12:45:01
