id;valid_from;valid_till;type;created_by;created_at;last_updated_by;last_updated_at
1;2021-03-14;2021-03-13;Kyat;Towels parse;2021-03-14T07:26:25;Diverse connecting Licensed Metal Ball;2021-03-14T13:56:55
2;2021-03-14;2021-03-13;Public-key;SDD;2021-03-14T06:53:37;Bulgarian Lev Team-oriented;2021-03-14T01:56:16
3;2021-03-14;2021-03-13;driver payment;synergistic Wooden;2021-03-14T17:15:20;olive;2021-03-14T06:06:51
4;2021-03-14;2021-03-14;flexibility Bedfordshire;Data reinvent silver;2021-03-14T01:36:48;internet solution enable;2021-03-14T16:41:38
5;2021-03-14;2021-03-14;website Intranet Buckinghamshire;Administrator emulation;2021-03-14T16:39:06;navigating best-of-breed;2021-03-14T17:22:46
6;2021-03-14;2021-03-14;quantifying;transitional Handcrafted Granite Computer;2021-03-14T01:39:19;connecting Fish;2021-03-13T23:18:14
7;2021-03-13;2021-03-14;Assistant;Buckinghamshire Infrastructure;2021-03-13T19:09:04;Trinidad and Tobago Dollar Granite;2021-03-14T15:40:36
8;2021-03-13;2021-03-14;copying;Forward Movies;2021-03-14T07:25:13;Lead;2021-03-14T15:21:47
9;2021-03-14;2021-03-14;Facilitator;tan;2021-03-13T21:33:40;multi-byte RSS;2021-03-13T19:27:19
10;2021-03-14;2021-03-14;Automotive Incredible;withdrawal Licensed Cotton Cheese;2021-03-14T17:20:33;platforms;2021-03-14T16:19:10
